Investors,InvestorLink,Latest,Seed,Growth,Legal,GRC,RiskTech,FinTech,WealthTech,Participation
Malabar Investment Advisors,https://www.google.com/search?q=Malabar+Investment+Advisors+AND+Crunchbase+OR+LinkedIn,Jul 2021,1,5,0,5,0,0,0,1921000000
GVC Gaesco Group,https://www.crunchbase.com/organization/gvc-gaesco-group,Jul 2021,4,0,0,0,0,0,4,21555200
Larry Ogunjobi,https://www.crunchbase.com/person/larry-ogunjobi,Jul 2021,3,0,0,0,0,3,0,100500000
MTech Capital,https://www.google.com/search?q=MTech+Capital+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,51,0,0,51,0,0,4694694604
K20 Fund,https://www.google.com/search?q=K20+Fund+AND+Crunchbase+OR+LinkedIn,Jul 2021,3,0,0,3,0,0,0,57000000
DataFrame Ventures,https://www.google.com/search?q=DataFrame+Ventures+AND+Crunchbase+OR+LinkedIn,Jul 2021,4,0,0,3,0,0,1,58500000
Legal & General,https://www.google.com/search?q=Legal+&+General+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,33,0,13,0,20,0,7569471904
Campden Hill Capital,https://www.google.com/search?q=Campden+Hill+Capital+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,13,0,13,0,0,0,4793471904
Phoenix Suns,https://www.google.com/search?q=Phoenix+Suns+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,6,0,0,0,6,0,750000000
Achmea Innovation Fund,https://www.google.com/search?q=Achmea+Innovation+Fund+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,13,0,13,0,0,0,4793471904
Boston Celtics,https://www.google.com/search?q=Boston+Celtics+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,6,0,0,0,6,0,750000000
LAUNCHub Ventures,https://www.google.com/search?q=LAUNCHub+Ventures+AND+Crunchbase+OR+LinkedIn,Jul 2021,7,27,0,27,0,3,4,4053939257
Yatra Angel Network,https://www.google.com/search?q=Yatra+Angel+Network+AND+Crunchbase+OR+LinkedIn,Jul 2021,1,0,0,1,0,0,0,0
IDB Lab,https://www.google.com/search?q=IDB+Lab+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,34,0,20,0,14,0,13031900000
Arrive,https://www.google.com/search?q=Arrive+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,23,0,2,16,5,0,7648600000
Alfvén & Didrikson,https://www.google.com/search?q=Alfvén+&+Didrikson+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,13,0,13,0,0,0,4793471904
Atlassian,https://www.google.com/search?q=Atlassian+AND+Crunchbase+OR+LinkedIn,Jul 2021,8,0,0,0,0,8,0,388000000
Kristjan Vilosius,https://www.google.com/search?q=Kristjan+Vilosius+AND+Crunchbase+OR+LinkedIn,Jul 2021,1,0,0,1,0,0,0,3000000
Chantel Jeffries,https://www.google.com/search?q=Chantel+Jeffries+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,6,0,0,0,6,0,121800000
Julia Hartz,https://www.google.com/search?q=Julia+Hartz+AND+Crunchbase+OR+LinkedIn,Jul 2021,10,15,0,13,0,8,0,3444200000
Jrue Holiday,https://www.google.com/search?q=Jrue+Holiday+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,4,0,4,0,0,0,396000000
Tahseen Consulting,https://www.google.com/search?q=Tahseen+Consulting+AND+Crunchbase+OR+LinkedIn,Jul 2021,3,5,0,5,0,3,0,67300000
PUSH Ventures,https://www.google.com/search?q=PUSH+Ventures+AND+Crunchbase+OR+LinkedIn,Jul 2021,9,14,0,8,0,0,0,503800000
Kings of the Jungle,https://www.google.com/search?q=Kings+of+the+Jungle+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,6,0,6,0,0,0,253800000
Lauren Riihimaki,https://www.google.com/search?q=Lauren+Riihimaki+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,6,0,0,0,6,0,121800000
Maxis ..,https://www.google.com/search?q=Maxis+..+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,3,0,0,3,0,0,1657800
Logan Paul,https://www.google.com/search?q=Logan+Paul+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,6,0,0,0,6,0,121800000
Andy Chou,https://www.crunchbase.com/person/andy-chou,Jul 2021,10,0,0,0,7,0,0,175500000
SFPI-FPIM,https://www.google.com/search?q=SFPI-FPIM+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,1,0,1,0,0,0,29306525
Istanbul Startup Angels,https://www.google.com/search?q=Istanbul+Startup+Angels+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,5,0,0,5,0,0,835500
Adam DAugelli,https://www.google.com/search?q=Adam+DAugelli+AND+Crunchbase+OR+LinkedIn,Jul 2021,1,0,0,0,0,1,0,5200000
Kris Gopalakrishnan,https://www.crunchbase.com/person/s-gopalakrishnan,Jul 2021,2,2,0,0,2,2,0,105787600
Jon Callaghan,https://www.google.com/search?q=Jon+Callaghan+AND+Crunchbase+OR+LinkedIn,Jul 2021,1,0,0,0,0,1,0,5200000
Emles Venture Partners,https://www.google.com/search?q=Emles+Venture+Partners+AND+Crunchbase+OR+LinkedIn,Jul 2021,2,5,0,0,0,7,0,226400000
Carter Sharer,https://www.google.com/search?q=Carter+Sharer+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,4,0,0,0,4,0,462400000
The Hartford,https://www.google.com/search?q=The+Hartford+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,5,0,0,0,5,0,375000000
Jazz Venture Partners,https://www.google.com/search?q=Jazz+Venture+Partners+AND+Crunchbase+OR+LinkedIn,Jul 2021,2,3,0,0,0,0,0,29500000
Rob Mee,https://www.crunchbase.com/person/rob-mee,Jul 2021,3,0,0,0,3,0,0,32400000
Lauren Holiday,https://www.google.com/search?q=Lauren+Holiday+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,4,0,4,0,0,0,396000000
Kenny Beecham,https://www.google.com/search?q=Kenny+Beecham+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,6,0,0,0,6,0,121800000
Granpool Innovative Investments,https://www.google.com/search?q=Granpool+Innovative+Investments+AND+Crunchbase+OR+LinkedIn,Jul 2021,4,0,0,0,4,0,0,8000000
Justin Wheatley,https://www.google.com/search?q=Justin+Wheatley+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,4,0,4,0,0,0,26000000
Oregon Venture Fund,https://www.google.com/search?q=Oregon+Venture+Fund+AND+Crunchbase+OR+LinkedIn,Jul 2021,10,8,0,0,0,15,3,415500000
Magicus Ventures,https://www.google.com/search?q=Magicus+Ventures+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,3,0,0,0,0,0,150300000
